shape_id,mse,mae,rmse,iou,dice,sign_accuracy,surface_mae,surface_sign_accuracy,mesh_vertices,mesh_faces,mesh_components,largest_component_face_fraction
monitor_0107,7.770036609144881e-05,0.004056956153362989,0.008814780972898006,0.8735781605459864,0.9325238508239375,0.9964825665509259,0.006904419045895338,0.9562624254473161,4680,9292,5,0.6771416272061989
monitor_0108,5.421157038654201e-05,0.0035900159273296595,0.007362850476056337,0.8217033695940568,0.9021264200407807,0.9878472222222222,0.006163745187222958,0.9047066622472655,6300,12454,1,1.0
monitor_0109,6.963896157685667e-05,0.003997474443167448,0.00834499578922987,0.7865213882163035,0.8805059859950305,0.9904333043981481,0.007607104256749153,0.8890328151986183,4708,9308,3,0.799527288354104
monitor_0110,5.481023981701583e-05,0.0035904732067137957,0.007403393741697073,0.8254865860073646,0.9044017001656941,0.9880009403935185,0.0062575917690992355,0.9049552535631422,6315,12486,1,1.0
monitor_0111,5.766508184024133e-05,0.004069244489073753,0.007593752816319466,0.7718407694362811,0.8712303980699638,0.9922779224537037,0.007514998782426119,0.9066972577297061,4826,9560,1,1.0
monitor_0112,5.666214565280825e-05,0.004057545214891434,0.007527426350861788,0.9189002844092046,0.9577363575117898,0.9914912471064815,0.006903212051838636,0.909388541165142,5131,10066,3,0.999006556725611
monitor_0113,8.194060501409695e-05,0.00507846474647522,0.009052105247974396,0.7006700167504187,0.8239929084999508,0.9838415075231481,0.009828520007431507,0.853056133056133,5936,11610,6,0.9958656330749354
monitor_0114,4.893634468317032e-05,0.003719956846907735,0.006995451636612415,0.7907313540912382,0.8831378892033966,0.9921603732638888,0.006458427291363478,0.9165945165945166,4988,9992,6,0.8538831064851882
monitor_0115,4.102851016796194e-05,0.0034191878512501717,0.006405350286513567,0.6449751243781094,0.7841761432373578,0.9838686342592593,0.009279821999371052,0.7987818632979923,4480,8962,1,1.000669493416648
monitor_0116,6.325962749542668e-05,0.004065743647515774,0.007953592576086521,0.27350427350427353,0.42953020134228187,0.9992314091435185,0.006168188992887735,0.9863760217983651,332,600,16,0.3933333333333333
monitor_0117,9.13356852834113e-05,0.004874088801443577,0.009556970559060574,0.7865615927001244,0.8805311789014254,0.9767343026620371,0.008588206022977829,0.8270500825536599,7282,14148,2,1.000706813683913
monitor_0118,7.91437560110353e-05,0.004757130518555641,0.008896277286112309,0.8294059077331564,0.9067489114658926,0.9814091435185185,0.007604558020830154,0.8727124080246526,7484,14794,4,0.9913478437204272
monitor_0119,5.1880495448131114e-05,0.0038289581425487995,0.007202811539173126,0.8304597701149425,0.9073783359497645,0.9925311053240741,0.0079890051856637,0.9145635084815887,4374,8744,1,1.0
monitor_0120,3.262710743001662e-05,0.0030802625697106123,0.005712014157325029,0.831765356945213,0.9081570996978852,0.9917534722222222,0.0059765116311609745,0.9065478020288964,4484,8808,6,0.8887375113533151
monitor_0121,7.933369488455355e-05,0.004871394485235214,0.008906946517527103,0.9215954535887182,0.9591982036256093,0.9932635271990741,0.007616952992975712,0.9335130278526504,5536,10870,17,0.9525298988040478
monitor_0122,2.035716170212254e-05,0.0024200892075896263,0.004511890932917595,0.09351753453772582,0.17103984450923226,0.9922869646990741,0.007202784065157175,0.8423872875092387,2112,4236,1,1.0
monitor_0123,0.00014655802806373686,0.0073671285063028336,0.012106114998459816,0.9565392054753757,0.9777869033224588,0.9735876012731481,0.008782124146819115,0.8800230566534915,14415,28334,3,1.0000705865744335
monitor_0124,4.756021371576935e-05,0.00358291226439178,0.00689639151096344,0.8055231427460132,0.8922878069797501,0.9909577546296297,0.008218033239245415,0.9068380845910192,5047,9984,1,1.0
monitor_0125,8.930411422625184e-05,0.005073886830359697,0.009450085461139679,0.8366528873856947,0.9110626108307188,0.9882089120370371,0.008594588376581669,0.8937190082644628,6571,12742,5,0.9981164652330874
monitor_0126,5.71400232729502e-05,0.0034960357006639242,0.007559102028608322,0.6416155419222904,0.7816879476798505,0.9873227719907407,0.009532943367958069,0.8428955625280143,3987,7838,5,0.9035468231691758
monitor_0127,3.980267865699716e-05,0.003284082980826497,0.0063089365139603615,0.9287816362566216,0.9630759841318279,0.9967176649305556,0.006859988439828157,0.9482857142857143,3585,7128,1,1.0008417508417509
monitor_0128,4.4967866415390745e-05,0.0035008417908102274,0.006705808453261852,0.7891019172552977,0.8821206993795826,0.9924406828703703,0.0063763270154595375,0.9120555438670314,4032,7980,5,0.9636591478696742
monitor_0129,6.033715544617735e-05,0.003440583823248744,0.007767699658870697,0.5346776657500764,0.6967947441767868,0.9862286603009259,0.010934191755950451,0.8389200320329482,3719,7296,11,0.9361293859649122
monitor_0130,5.2239352953620255e-05,0.003444779897108674,0.007227679714560509,0.833998859098688,0.9094867807153966,0.9921061197916666,0.008315365761518478,0.8943099273607749,4321,8528,2,0.8053470919324578
monitor_0131,9.609881090000272e-05,0.004935006145387888,0.009802999906241894,0.8228393364494547,0.9028105988234703,0.9825213396990741,0.007318710442632437,0.8624586152295955,6584,13022,3,0.999078482567962
monitor_0132,0.0001705387549009174,0.007661235984414816,0.013059048913419247,0.9581420436015152,0.9786236363519893,0.9698260271990741,0.007395051419734955,0.8708228460793804,13274,25264,26,0.9564597846738442
monitor_0133,5.992613296257332e-05,0.004356882534921169,0.007741197012364864,0.5604395604395604,0.7183098591549296,0.9866174768518519,0.005714597646147013,0.8804233659206593,5847,11644,35,0.8536585365853658
monitor_0134,6.161512283142656e-05,0.004155914764851332,0.007849530316889286,0.9094589124274727,0.9525828563352413,0.9939326533564815,0.006687698885798454,0.9374357056017956,4864,9592,2,0.8703085904920768
monitor_0135,5.3239655244397e-05,0.003800791222602129,0.007296551018953323,0.7728246892413202,0.8718568665377177,0.9856228298611112,0.009402720257639885,0.8556061987237922,4984,9906,1,1.0012113870381587
monitor_0136,6.331527401925996e-05,0.003748095128685236,0.007957089692354202,0.6017069701280228,0.7513321492007105,0.9898726851851852,0.010143201798200607,0.8343222985633979,2894,5768,6,0.9771151178918169
monitor_0137,6.749798194505274e-05,0.004410376772284508,0.008215715177357197,0.8975121419367628,0.9459882992060176,0.9906503182870371,0.007859130389988422,0.9174371451743715,6072,12084,1,1.0006620324395896
monitor_0138,8.53475576150231e-05,0.004297332838177681,0.009238374419510365,0.5163132137030995,0.6810112963959117,0.9892758969907407,0.008928162045776844,0.8211280772826426,3087,6168,10,0.6793125810635539
monitor_0139,9.218336344929412e-05,0.005139205139130354,0.00960121676325798,0.8186388244392885,0.9002764193068254,0.9872775607638888,0.007591103203594685,0.8909147820643243,7480,14738,1,1.000542814493147
monitor_0140,6.100707469158806e-05,0.004340808838605881,0.007810702547430992,0.8375968425668762,0.9116219871131971,0.9799081307870371,0.00750776519998908,0.8135906040268457,5288,10444,1,1.0
monitor_0141,0.00012108661030652002,0.006955772638320923,0.01100393570959568,0.9639939776403883,0.9816669385092155,0.9898365162037037,0.007862343452870846,0.926149802890933,8042,15868,10,0.9624401310814217
