shape_id,method,mask_type,lam,k,iou,sdf_error,solve_time_s
monitor_0427,pca_completion,halfspace,1.0,64,0.0,0.019818777,0.010720167018007487
monitor_0428,pca_completion,halfspace,1.0,64,0.0,0.0581706,0.007781583000905812
monitor_0429,pca_completion,halfspace,1.0,64,0.5560026827632462,0.027872046,0.007461333007086068
monitor_0430,pca_completion,halfspace,1.0,64,0.2547452547452547,0.057783477,0.014970874995924532
monitor_0431,pca_completion,halfspace,1.0,64,0.0,0.02910544,0.014705542009323835
monitor_0432,pca_completion,halfspace,1.0,64,0.22401847575057737,0.048970155,0.012448916997527704
monitor_0433,pca_completion,halfspace,1.0,64,0.05026109660574413,0.091144495,0.014142082975013182
monitor_0434,pca_completion,halfspace,1.0,64,0.4084451460142068,0.037913244,0.013822790991980582
monitor_0435,pca_completion,halfspace,1.0,64,0.5293652363061103,0.024035934,0.007392457977402955
monitor_0436,pca_completion,halfspace,1.0,64,0.22486689633573442,0.04043749,0.011282417020993307
monitor_0437,pca_completion,halfspace,1.0,64,0.7663332098308016,0.038216177,0.010441374994115904
monitor_0438,pca_completion,halfspace,1.0,64,0.3223981900452489,0.023335047,0.01487920799991116
monitor_0439,pca_completion,halfspace,1.0,64,0.06680584551148225,0.030674031,0.010958999977447093
monitor_0440,pca_completion,halfspace,1.0,64,0.6147123706091974,0.05882134,0.010228125000139698
monitor_0441,pca_completion,halfspace,1.0,64,0.8588439985538684,0.038589567,0.007853917020838708
monitor_0442,pca_completion,halfspace,1.0,64,0.11082307193778354,0.039650306,0.011673750006593764
monitor_0443,pca_completion,halfspace,1.0,64,0.15248796147672553,0.055725846,0.01438274999964051
monitor_0444,pca_completion,halfspace,1.0,64,0.31211180124223603,0.044912912,0.014376459002960473
monitor_0445,pca_completion,halfspace,1.0,64,0.0,0.047574133,0.01500258399755694
monitor_0446,pca_completion,halfspace,1.0,64,0.4669499527856468,0.03532358,0.009508124989224598
monitor_0447,pca_completion,halfspace,1.0,64,0.42463235294117646,0.028762192,0.012513708003098145
monitor_0448,pca_completion,halfspace,1.0,64,0.632957820277705,0.038331356,0.007286624982953072
monitor_0449,pca_completion,halfspace,1.0,64,0.3286179523712599,0.123730145,0.0092878750001546
monitor_0450,pca_completion,halfspace,1.0,64,0.5841816758026624,0.03401331,0.01261766700190492
monitor_0451,pca_completion,halfspace,1.0,64,0.5907423580786026,0.021154331,0.007464958005584776
monitor_0452,pca_completion,halfspace,1.0,64,0.7659343794579173,0.073620215,0.012075375008862466
monitor_0453,pca_completion,halfspace,1.0,64,0.036734693877551024,0.032221213,0.015150082996115088
monitor_0454,pca_completion,halfspace,1.0,64,0.22948438634713145,0.046214562,0.0109774160082452
monitor_0455,pca_completion,halfspace,1.0,64,0.0,0.07620665,0.009390542021719739
monitor_0456,pca_completion,halfspace,1.0,64,0.6141505553270259,0.056717336,0.012776416988344863
monitor_0457,pca_completion,halfspace,1.0,64,0.12703190848886214,0.06948549,0.011870249989442527
monitor_0458,pca_completion,halfspace,1.0,64,0.4350021958717611,0.06315931,0.01179483300074935
monitor_0459,pca_completion,halfspace,1.0,64,0.24053581828771112,0.060488213,0.011819749983260408
monitor_0460,pca_completion,halfspace,1.0,64,0.0,0.031694077,0.010663541994290426
monitor_0461,pca_completion,halfspace,1.0,64,0.0,0.05199964,0.012931042001582682
monitor_0462,pca_completion,halfspace,1.0,64,0.3193843193843194,0.043754302,0.007672833016840741
monitor_0463,pca_completion,halfspace,1.0,64,0.5551354757403907,0.027601006,0.009832292009377852
monitor_0464,pca_completion,halfspace,1.0,64,0.0,0.038925916,0.011286875000223517
monitor_0465,pca_completion,halfspace,1.0,64,0.6994722710860105,0.044349536,0.015010750008514151
monitor_0466,pca_completion,halfspace,1.0,64,0.0853271836264053,0.16642866,0.010212541004875675
monitor_0467,pca_completion,halfspace,1.0,64,0.0,0.06106606,0.007431083009578288
monitor_0468,pca_completion,halfspace,1.0,64,0.028578013367135283,0.07346186,0.007267124979989603
monitor_0469,pca_completion,halfspace,1.0,64,0.27661633759194737,0.054568212,0.008755584014579654
monitor_0470,pca_completion,halfspace,1.0,64,0.20101137800252844,0.06381097,0.012842791998991743
monitor_0471,pca_completion,halfspace,1.0,64,0.6200345423143351,0.03747338,0.010053791018435732
monitor_0472,pca_completion,halfspace,1.0,64,0.7478196128483301,0.042435236,0.010588458011625335
monitor_0473,pca_completion,halfspace,1.0,64,0.005934718100890208,0.03917924,0.015564666013233364
monitor_0474,pca_completion,halfspace,1.0,64,0.4757648676521141,0.03035993,0.01003649999620393
monitor_0475,pca_completion,halfspace,1.0,64,0.2105820105820106,0.024130475,0.014743332983925939
monitor_0476,pca_completion,halfspace,1.0,64,0.4437869822485207,0.08794781,0.007895999995525926
monitor_0477,pca_completion,halfspace,1.0,64,0.0,0.04054385,0.014799458993365988
monitor_0478,pca_completion,halfspace,1.0,64,0.5863104172921044,0.07274202,0.009946249978384003
monitor_0479,pca_completion,halfspace,1.0,64,0.5131322957198443,0.027128216,0.009540458006085828
monitor_0480,pca_completion,halfspace,1.0,64,0.0,0.07607842,0.010473875008756295
monitor_0396,pca_completion,block,0.0,64,0.8825182686902754,0.012425408,0.11751424998510629
monitor_0397,pca_completion,block,0.0,64,0.8047808764940239,0.010581082,0.1378210420079995
monitor_0398,pca_completion,block,0.0,64,0.846815834767642,0.008858132,0.11395537501084618
monitor_0399,pca_completion,block,0.0,64,1.0,0.009803913,0.12760237499605864
monitor_0400,pca_completion,block,0.0,64,0.6244239631336406,0.014074,0.11813020799309015
monitor_0401,pca_completion,block,0.0,64,0.8211382113821138,0.0075999666,0.11793416601722129
monitor_0402,pca_completion,block,0.0,64,0.6486090775988287,0.02287224,0.1353417909995187
monitor_0403,pca_completion,block,0.0,64,0.7721198988804623,0.016020367,0.1254837089800276
monitor_0404,pca_completion,block,0.0,64,0.32727272727272727,0.01243187,0.11767033298383467
monitor_0405,pca_completion,block,0.0,64,0.815267175572519,0.02943312,0.1354251670127269
monitor_0406,pca_completion,block,0.0,64,1.0,0.0150510715,0.12876333299209364
monitor_0407,pca_completion,block,0.0,64,1.0,0.005694854,0.14337933299248107
monitor_0408,pca_completion,block,0.0,64,0.7974472807991121,0.012986369,0.13219708399265073
monitor_0409,pca_completion,block,0.0,64,0.5285714285714286,0.017199907,0.11385420800070278
monitor_0410,pca_completion,block,0.0,64,1.0,0.009345922,0.13700024998979643
monitor_0411,pca_completion,block,0.0,64,0.8466117216117216,0.013258863,0.12481629199464805
monitor_0412,pca_completion,block,0.0,64,0.20419847328244276,0.03402757,0.12095083299209364
monitor_0413,pca_completion,block,0.0,64,0.6858108108108109,0.01505658,0.1179456670070067
monitor_0414,pca_completion,block,0.0,64,0.9354619565217391,0.010192696,0.1141525839921087
monitor_0415,pca_completion,block,0.0,64,0.47065101387406616,0.01462982,0.13554716599173844
monitor_0416,pca_completion,block,0.0,64,0.31887456037514655,0.017839966,0.11654958399594761
monitor_0417,pca_completion,block,0.0,64,0.2777777777777778,0.011227824,0.1412180420011282
monitor_0418,pca_completion,block,0.0,64,0.6880877742946708,0.014468828,0.13012945800437592
monitor_0419,pca_completion,block,0.0,64,0.8597014925373134,0.007994902,0.13402466700063087
monitor_0420,pca_completion,block,0.0,64,0.6403785488958991,0.008429702,0.1282248749921564
monitor_0421,pca_completion,block,0.0,64,0.608421052631579,0.019422924,0.12217362498631701
monitor_0422,pca_completion,block,0.0,64,0.5863309352517986,0.047787845,0.1148831250029616
monitor_0423,pca_completion,block,0.0,64,1.0,0.017560082,0.13004008299321868
monitor_0424,pca_completion,block,0.0,64,0.865021770682148,0.018185979,0.13364200000069104
monitor_0425,pca_completion,block,0.0,64,0.8099808061420346,0.008391349,0.12648716600961052
monitor_0426,pca_completion,block,0.0,64,0.0,0.00733721,0.13926024999818765
monitor_0427,pca_completion,block,0.0,64,0.22972972972972974,0.013647302,0.12018437500228174
monitor_0428,pca_completion,block,0.0,64,0.3586156111929308,0.025418093,0.11475045798579231
monitor_0429,pca_completion,block,0.0,64,0.7076991942703671,0.009080749,0.11381679199985228
monitor_0430,pca_completion,block,0.0,64,1.0,0.010876121,0.12668320798547938
monitor_0431,pca_completion,block,0.0,64,0.16901408450704225,0.0070854006,0.1401771669916343
monitor_0432,pca_completion,block,0.0,64,0.16161616161616163,0.014134981,0.125904124986846
monitor_0433,pca_completion,block,0.0,64,0.6046511627906976,0.02840027,0.13892379199387506
monitor_0434,pca_completion,block,0.0,64,0.8729323308270677,0.013329139,0.12580670800525695
monitor_0435,pca_completion,block,0.0,64,0.6243713733075436,0.014512878,0.1258343329827767
monitor_0436,pca_completion,block,0.0,64,0.1968503937007874,0.022529438,0.12204324998310767
monitor_0437,pca_completion,block,0.0,64,0.8061002178649237,0.014583396,0.13287987498915754
monitor_0438,pca_completion,block,0.0,64,1.0,0.0074544847,0.13926020901999436
monitor_0439,pca_completion,block,0.0,64,0.4717741935483871,0.015092052,0.12160179199418053
monitor_0440,pca_completion,block,0.0,64,0.9377203290246768,0.012358816,0.11788045801222324
monitor_0441,pca_completion,block,0.0,64,0.995726144489192,0.0283902,0.1256645829998888
monitor_0442,pca_completion,block,0.0,64,0.4980237154150198,0.01617828,0.12141437499667518
monitor_0443,pca_completion,block,0.0,64,0.8322851153039832,0.01628588,0.13872729099239223
monitor_0444,pca_completion,block,0.0,64,1.0,0.0055829063,0.1408839999930933
monitor_0445,pca_completion,block,0.0,64,0.6990521327014217,0.0063883597,0.12786712500383146
monitor_0446,pca_completion,block,0.0,64,0.7509834775767112,0.027217304,0.12985666701570153
monitor_0447,pca_completion,block,0.0,64,1.0,0.0072506643,0.1264744589861948
monitor_0448,pca_completion,block,0.0,64,0.7180417044424298,0.009597972,0.1251352080143988
monitor_0449,pca_completion,block,0.0,64,0.6951672862453532,0.021936497,0.12798750001820736
monitor_0450,pca_completion,block,0.0,64,1.0,0.003478526,0.13798254099674523
monitor_0451,pca_completion,block,0.0,64,0.8306148055207027,0.0069529205,0.12585691700223833
monitor_0452,pca_completion,block,0.0,64,0.9282218597063622,0.032398656,0.12557124998420477
monitor_0453,pca_completion,block,0.0,64,0.0,0.005133323,0.12710191597579978
monitor_0454,pca_completion,block,0.0,64,0.8126410835214447,0.010841272,0.1245075830083806
monitor_0455,pca_completion,block,0.0,64,0.0,0.018737886,0.13161666700034402
monitor_0456,pca_completion,block,0.0,64,0.6065773447015834,0.03372323,0.128515124990372
monitor_0457,pca_completion,block,0.0,64,0.7590870667793744,0.011079584,0.1390197500004433
