shape_id,method,mask_type,k_gmm,lam,k_pca,iou,sdf_error,solve_time_s
monitor_0416,gmm_completion,halfspace,2,1.0,64,0.028018129377832716,0.060318355,0.023509584018029273
monitor_0417,gmm_completion,halfspace,2,1.0,64,0.21153846153846154,0.13780679,0.037183583015576005
monitor_0418,gmm_completion,halfspace,2,1.0,64,0.31338320864505403,0.07071213,0.02788579199113883
monitor_0419,gmm_completion,halfspace,2,1.0,64,0.45010615711252655,0.044150073,0.04550529099651612
monitor_0420,gmm_completion,halfspace,2,1.0,64,0.14987864077669902,0.027747856,0.036004249996040016
monitor_0421,gmm_completion,halfspace,2,1.0,64,0.3703533731069298,0.061101057,0.03318800000124611
monitor_0422,gmm_completion,halfspace,2,1.0,64,0.6639593908629442,0.1022783,0.0229283339867834
monitor_0423,gmm_completion,halfspace,2,1.0,64,0.3747252747252747,0.027281674,0.04478900000685826
monitor_0424,gmm_completion,halfspace,2,1.0,64,0.5967135496448962,0.0452181,0.031154666998190805
monitor_0425,gmm_completion,halfspace,2,1.0,64,0.45771554091158706,0.03299612,0.0232573339890223
monitor_0426,gmm_completion,halfspace,2,1.0,64,0.15789473684210525,0.065287456,0.0460601249942556
monitor_0427,gmm_completion,halfspace,2,1.0,64,0.0,0.05398724,0.033428499998990446
monitor_0428,gmm_completion,halfspace,2,1.0,64,0.1860986547085202,0.068582326,0.023002166009973735
monitor_0429,gmm_completion,halfspace,2,1.0,64,0.4736249296039046,0.046644956,0.022661333001451567
monitor_0430,gmm_completion,halfspace,2,1.0,64,0.32917705735660846,0.07377402,0.04626979198656045
monitor_0431,gmm_completion,halfspace,2,1.0,64,0.0,0.098375864,0.04481629197834991
monitor_0432,gmm_completion,halfspace,2,1.0,64,0.24983860555196902,0.05679622,0.036631208000471815
monitor_0433,gmm_completion,halfspace,2,1.0,64,0.03129074315514994,0.088619955,0.04249091699603014
monitor_0434,gmm_completion,halfspace,2,1.0,64,0.23727015558698727,0.03704289,0.03874399999040179
monitor_0435,gmm_completion,halfspace,2,1.0,64,0.5546585206196815,0.05734919,0.02132449997588992
monitor_0436,gmm_completion,halfspace,2,1.0,64,0.30228196311347294,0.05227851,0.0325314580113627
monitor_0437,gmm_completion,halfspace,2,1.0,64,0.6506715882292627,0.13359603,0.031069583987118676
monitor_0438,gmm_completion,halfspace,2,1.0,64,0.21382428940568476,0.058402877,0.04375800001434982
monitor_0439,gmm_completion,halfspace,2,1.0,64,0.29190101237345334,0.07701196,0.03331125000840984
monitor_0440,gmm_completion,halfspace,2,1.0,64,0.5360411400679858,0.049052548,0.03020550002111122
monitor_0441,gmm_completion,halfspace,2,1.0,64,0.7984311762006092,0.05621113,0.022146458009956405
monitor_0442,gmm_completion,halfspace,2,1.0,64,0.08848405985686401,0.07400759,0.032500999979674816
monitor_0443,gmm_completion,halfspace,2,1.0,64,0.37898089171974525,0.075560026,0.04390820799744688
monitor_0444,gmm_completion,halfspace,2,1.0,64,0.2465277777777778,0.055695385,0.042105000000447035
monitor_0445,gmm_completion,halfspace,2,1.0,64,0.0,0.075919695,0.04505395900923759
monitor_0446,gmm_completion,halfspace,2,1.0,64,0.3133443944062574,0.061428495,0.05701124999905005
monitor_0447,gmm_completion,halfspace,2,1.0,64,0.2411636759108211,0.15525614,0.04157058399869129
monitor_0448,gmm_completion,halfspace,2,1.0,64,0.7596630327056492,0.04644031,0.022352667001541704
monitor_0449,gmm_completion,halfspace,2,1.0,64,0.15168243953732913,0.2087344,0.02884783298941329
monitor_0450,gmm_completion,halfspace,2,1.0,64,0.34054054054054056,0.040992692,0.037489165988517925
monitor_0451,gmm_completion,halfspace,2,1.0,64,0.35277930654925704,0.028181555,0.02138108399230987
monitor_0452,gmm_completion,halfspace,2,1.0,64,0.7118675595238095,0.08795974,0.03604170901235193
monitor_0453,gmm_completion,halfspace,2,1.0,64,0.07534246575342465,0.030550405,0.04569658398395404
monitor_0454,gmm_completion,halfspace,2,1.0,64,0.187109375,0.16819942,0.03312437501153909
monitor_0455,gmm_completion,halfspace,2,1.0,64,0.0813864906043677,0.18832335,0.028166792006231844
monitor_0456,gmm_completion,halfspace,2,1.0,64,0.5787811597124236,0.07000532,0.03902033300255425
monitor_0457,gmm_completion,halfspace,2,1.0,64,0.26663118680149017,0.096824914,0.03544216699083336
monitor_0458,gmm_completion,halfspace,2,1.0,64,0.5791313949208686,0.08589533,0.03430174998356961
monitor_0459,gmm_completion,halfspace,2,1.0,64,0.2022209234365868,0.05340973,0.03448641698923893
monitor_0460,gmm_completion,halfspace,2,1.0,64,0.0,0.082361266,0.03404287499142811
monitor_0461,gmm_completion,halfspace,2,1.0,64,0.14784394250513347,0.10784723,0.03914329098188318
monitor_0462,gmm_completion,halfspace,2,1.0,64,0.38361266294227186,0.04601737,0.022052707994589582
monitor_0463,gmm_completion,halfspace,2,1.0,64,0.337401055408971,0.04898615,0.02774754198617302
monitor_0464,gmm_completion,halfspace,2,1.0,64,0.0,0.03924094,0.0334342920104973
monitor_0465,gmm_completion,halfspace,2,1.0,64,0.7013806033748082,0.04504771,0.04446525001549162
monitor_0466,gmm_completion,halfspace,2,1.0,64,0.10642504118616145,0.2406279,0.03078599998843856
monitor_0467,gmm_completion,halfspace,2,1.0,64,0.04801920768307323,0.09209781,0.02227600000333041
monitor_0468,gmm_completion,halfspace,2,1.0,64,0.36215360253365003,0.14042258,0.0220059170096647
monitor_0469,gmm_completion,halfspace,2,1.0,64,0.15621347876899103,0.10331078,0.025619624997489154
monitor_0470,gmm_completion,halfspace,2,1.0,64,0.1435523114355231,0.08067099,0.0389044159965124
monitor_0471,gmm_completion,halfspace,2,1.0,64,0.5295151089248068,0.06087075,0.03130487498128787
monitor_0472,gmm_completion,halfspace,2,1.0,64,0.6194806226175349,0.08885415,0.03236645899596624
monitor_0473,gmm_completion,halfspace,2,1.0,64,0.03545051698670606,0.055253454,0.044466541992733255
monitor_0474,gmm_completion,halfspace,2,1.0,64,0.3210879547862946,0.060428564,0.02966524998191744
monitor_0475,gmm_completion,halfspace,2,1.0,64,0.0667420814479638,0.05690651,0.04442570797982626
monitor_0476,gmm_completion,halfspace,2,1.0,64,0.36509065055101314,0.0668808,0.023676542012253776
monitor_0477,gmm_completion,halfspace,2,1.0,64,0.0,0.08792419,0.0447370839829091
monitor_0478,gmm_completion,halfspace,2,1.0,64,0.5134610047182903,0.061482646,0.030372415989404544
monitor_0479,gmm_completion,halfspace,2,1.0,64,0.2031900138696255,0.040592436,0.029023665993008763
monitor_0480,gmm_completion,halfspace,2,1.0,64,0.0,0.04704581,0.030736791028175503
monitor_0396,gmm_completion,block,2,1.0,64,0.6968898260411176,0.024275415,0.05329499999061227
monitor_0397,gmm_completion,block,2,1.0,64,0.7215496368038741,0.025029816,0.055850708013167605
monitor_0398,gmm_completion,block,2,1.0,64,0.6374162096282754,0.019502442,0.05322962501668371
monitor_0399,gmm_completion,block,2,1.0,64,1.0,0.034349624,0.05299374999594875
monitor_0400,gmm_completion,block,2,1.0,64,0.6758241758241759,0.018651038,0.05349212500732392
monitor_0401,gmm_completion,block,2,1.0,64,0.520940484937546,0.018843058,0.05434799997601658
monitor_0402,gmm_completion,block,2,1.0,64,0.1777509068923821,0.05431981,0.05455920900567435
monitor_0403,gmm_completion,block,2,1.0,64,0.6490147783251231,0.03158846,0.053508207987761125
monitor_0404,gmm_completion,block,2,1.0,64,0.3171171171171171,0.012757384,0.05188145799911581
monitor_0405,gmm_completion,block,2,1.0,64,0.6636844245628304,0.058723547,0.056072583014611155
monitor_0406,gmm_completion,block,2,1.0,64,1.0,0.020866951,0.05364416600787081
monitor_0407,gmm_completion,block,2,1.0,64,1.0,0.00853545,0.057272209000075236
monitor_0408,gmm_completion,block,2,1.0,64,0.8027522935779816,0.013382394,0.05542995801079087
monitor_0409,gmm_completion,block,2,1.0,64,0.518910741301059,0.02469022,0.05436808301601559
monitor_0410,gmm_completion,block,2,1.0,64,1.0,0.014339969,0.05576824999297969
monitor_0411,gmm_completion,block,2,1.0,64,0.5245569620253164,0.027932052,0.05324974999530241
monitor_0412,gmm_completion,block,2,1.0,64,0.14150047483380818,0.05313655,0.054466124973259866
monitor_0413,gmm_completion,block,2,1.0,64,0.38082901554404147,0.034196306,0.05181345797609538
monitor_0414,gmm_completion,block,2,1.0,64,0.8959081119885139,0.016474953,0.05254941701423377
monitor_0415,gmm_completion,block,2,1.0,64,0.17105263157894737,0.019515224,0.053672875015763566
monitor_0416,gmm_completion,block,2,1.0,64,0.11702786377708978,0.027681358,0.05293770899879746
monitor_0417,gmm_completion,block,2,1.0,64,0.0967741935483871,0.020105636,0.0545017920085229
monitor_0418,gmm_completion,block,2,1.0,64,0.4015151515151515,0.034303024,0.053184542019153014
monitor_0419,gmm_completion,block,2,1.0,64,1.0,0.009877021,0.05416966599295847
monitor_0420,gmm_completion,block,2,1.0,64,0.6491862567811935,0.010121742,0.053900166996754706
monitor_0421,gmm_completion,block,2,1.0,64,0.3070652173913043,0.04139502,0.053325749991927296
monitor_0422,gmm_completion,block,2,1.0,64,0.5990063875088716,0.045110617,0.05129066601512022
