shape_id,method,k,iou,sdf_error
monitor_0418,pca_reconstruction,64,0.7044512026541333,0.007649711
monitor_0419,pca_reconstruction,64,0.8401890919353701,0.008445868
monitor_0420,pca_reconstruction,64,0.5550377274744784,0.009393227
monitor_0421,pca_reconstruction,64,0.7523711340206185,0.014085757
monitor_0422,pca_reconstruction,64,0.6875951293759512,0.018437631
monitor_0423,pca_reconstruction,64,0.8186383276888941,0.009611166
monitor_0424,pca_reconstruction,64,0.7838187210098091,0.011965404
monitor_0425,pca_reconstruction,64,0.7483634041194316,0.009336633
monitor_0426,pca_reconstruction,64,0.8081517919887562,0.006967794
monitor_0427,pca_reconstruction,64,0.316292403248925,0.007889379
monitor_0428,pca_reconstruction,64,0.2998336897125208,0.020099113
monitor_0429,pca_reconstruction,64,0.6980614170526677,0.0071460493
monitor_0430,pca_reconstruction,64,0.17081371889710828,0.018198723
monitor_0431,pca_reconstruction,64,0.24279835390946503,0.006868678
monitor_0432,pca_reconstruction,64,0.6999023543452316,0.016081654
monitor_0433,pca_reconstruction,64,0.44668367346938775,0.019983672
monitor_0434,pca_reconstruction,64,0.8428882438316401,0.008289398
monitor_0435,pca_reconstruction,64,0.6781547298510142,0.007976199
monitor_0436,pca_reconstruction,64,0.6191430719118015,0.012223993
monitor_0437,pca_reconstruction,64,0.8411172848776093,0.014380314
monitor_0438,pca_reconstruction,64,0.7258925592258926,0.0062265694
monitor_0439,pca_reconstruction,64,0.3417109714838086,0.0071766707
monitor_0440,pca_reconstruction,64,0.9013720033201503,0.011868591
monitor_0441,pca_reconstruction,64,0.9155897915841762,0.020636408
monitor_0442,pca_reconstruction,64,0.4708480565371025,0.011044341
monitor_0443,pca_reconstruction,64,0.774070796460177,0.012471698
monitor_0444,pca_reconstruction,64,0.8769254951273184,0.0072566983
monitor_0445,pca_reconstruction,64,0.5666434054431263,0.008321714
monitor_0446,pca_reconstruction,64,0.6383210354421193,0.016730264
monitor_0447,pca_reconstruction,64,0.8423596304193319,0.006466446
monitor_0448,pca_reconstruction,64,0.7136130136986302,0.010401002
monitor_0449,pca_reconstruction,64,0.6709555221736007,0.02699331
monitor_0450,pca_reconstruction,64,0.7554121565362198,0.005337999
monitor_0451,pca_reconstruction,64,0.8023881994848981,0.0080315955
monitor_0452,pca_reconstruction,64,0.9130897563458824,0.018802878
monitor_0453,pca_reconstruction,64,0.7298316889146836,0.006492691
monitor_0454,pca_reconstruction,64,0.6511663132384126,0.010410865
monitor_0455,pca_reconstruction,64,0.1408296943231441,0.01778808
monitor_0456,pca_reconstruction,64,0.8997601439136518,0.022725312
monitor_0457,pca_reconstruction,64,0.6514156750102585,0.012988187
monitor_0458,pca_reconstruction,64,0.7833541406575114,0.016802588
monitor_0459,pca_reconstruction,64,0.6007295173961841,0.0092205
monitor_0460,pca_reconstruction,64,0.026755852842809364,0.0055563957
monitor_0461,pca_reconstruction,64,0.5417847025495751,0.007634121
monitor_0462,pca_reconstruction,64,0.6663773650407915,0.0111033
monitor_0463,pca_reconstruction,64,0.6206835799859056,0.0073721292
monitor_0464,pca_reconstruction,64,0.18394160583941604,0.009210804
monitor_0465,pca_reconstruction,64,0.9042620317788103,0.020910691
monitor_0466,pca_reconstruction,64,0.3227369645280093,0.037514504
monitor_0467,pca_reconstruction,64,0.12221041445270989,0.006403817
monitor_0468,pca_reconstruction,64,0.6391849529780564,0.010672995
monitor_0469,pca_reconstruction,64,0.3598807495741056,0.018701062
monitor_0470,pca_reconstruction,64,0.7451447634933873,0.010039616
monitor_0471,pca_reconstruction,64,0.7653832313781936,0.008255619
monitor_0472,pca_reconstruction,64,0.851824569356301,0.022524115
monitor_0473,pca_reconstruction,64,0.4842442146725751,0.013861954
monitor_0474,pca_reconstruction,64,0.6797969543147208,0.00961609
monitor_0475,pca_reconstruction,64,0.7355963064117571,0.007080794
monitor_0476,pca_reconstruction,64,0.4592213697073032,0.013039143
monitor_0477,pca_reconstruction,64,0.6050269299820467,0.0058262805
monitor_0478,pca_reconstruction,64,0.8803955124548393,0.0070588733
monitor_0479,pca_reconstruction,64,0.8431889516635279,0.007281709
monitor_0480,pca_reconstruction,64,0.1153054221002059,0.0110320365
